Name used,Year,Latitude,Longitude,Catalog No.,Information
Amphiprion percula,,-16.5,-151.75,0000-7996,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-16.5,-151.75,MNHN 0000-7996,bora-bora(i.) 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,12.5,92.75,105962,Portal: OBIS. Source: NCL
,,1.17,103.18,UBC 631363,"Lee, O.P., MALAYA SINGAPORE TELOK AYER MARKET "
,,,,,Portal: FB. Source: UBC
Amphiprion percula,1962,1.17,103.18,UBC 63-1363,MALAYA SINGAPORE TELOK AYER MARKET 
,,,,,Portal: GBIF. Source: UBC
,,,,,Data from GBIF data index - original values.
,,1.35,103.68,UBC 640308,"Lindsey, C.C.; Syed, MALAYA SINGAPORE 1 MI W OF JURONG ON CORAL REEF "
,,,,,Portal: FB. Source: UBC
Amphiprion percula,1963,1.35,103.68,UBC 64-0308,MALAYA SINGAPORE 1 MI W OF JURONG ON CORAL REEF 
,,,,,Portal: GBIF. Source: UBC
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,4.67,119.4,BMNH 1933.3.11.428,"Sitankai, Sulu archipelago, Philippines Islands "
,,,,,Portal: GBIF. Source: BMNH
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,0,120,105962,Indonesia 
,,,,,Portal: GBIF. Source: NCL
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,25.05,121.55,67440,Taipei 
,,,,,Portal: GBIF. Source: ASIZ
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,25.05,121.55,802925,Taipei 
,,,,,Portal: GBIF. Source: ASIZ
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,25.05,121.55,912925,Taipei 
,,,,,Portal: GBIF. Source: ASIZ
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1985,9.42,123.33,50477,Bohol Strait; NW Coast of Sumilon Island Between Two Sand Beaches 
,,,,,Portal: GBIF. Source: ROM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,9.42,123.33,ROM 50477,"Bohol Strait, NW Coast of Sumilon Island Between Two Sand Beaches "
,,,,,Portal: GBIF. Source: ROM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1957,12,124,UBC 59-0499,PHILIPPINES 
,,,,,Portal: GBIF. Source: UBC
,,,,,Data from GBIF data index - original values.
,,12,124,UBC 590499,"Vcr. Pub. Aquarium, PHILIPPINES "
,,,,,Portal: FB. Source: UBC
Amphiprion percula,1979,0.9,127.7,227510.5086,"Kampung Pasir Putih, Jailolo District Halmahera Island, Indonesia "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1978,1,127.9,227509.5086,"Kampung Loleba, Wasile District Halmahera Island, Indonesia. "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2000,-2.44,140.49,7239,Yemang Camp 
,,,,,Portal: GBIF. Source: Conservation International
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1907,-8.07,144.07,I11729,Portal: OBIS. Source: AM
Amphiprion percula,1907,-8.07,144.07,I11730,Portal: OBIS. Source: AM
Amphiprion percula,1907,-8.07,144.07,I11731,Portal: OBIS. Source: AM
Amphiprion percula,1907,-8.07,144.07,I11732,Portal: OBIS. Source: AM
Amphiprion percula,1907,-8.07,144.07,I11983,Portal: OBIS. Source: AM
Amphiprion percula,,-9.9,144.1,I.11729,"Torres Strait, Murray Island "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-9.9,144.1,I.11731,"Torres Strait, Murray Island "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-9.9,144.1,I.11732,"Torres Strait, Murray Island "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-9.9,144.1,I.11730,"Torres Strait, Murray Island "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-9.9,144.1,I.11983,MURRAY IS : 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1916,-14.98,145.45,I13993,Portal: OBIS. Source: AM
Amphiprion percula,1918,-14.25,145.45,I14595,Portal: OBIS. Source: AM
Amphiprion percula,1910,-14.33,145.48,I10730,Portal: OBIS. Source: AM
Amphiprion percula,,-15.8,145.5,I.14595,HOPE ISLANDS 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-15.7,145.5,I.10730,COOKTOWN : CAIRNS REEF 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-15,145.5,I.13993,TWO ISLES : 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-14.6,145.6,IA.1593,YOUNG REEF : 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1923,-13.42,145.62,IA1593,Portal: OBIS. Source: AM
Amphiprion percula,1969,-15.75,145.7,AMNH 213188,"GREAT BARRIER REEF, PATCH REEF 1, NORTH OF LITTLE HOPE ISLAND "
,,,,,Portal: GBIF. Source: AMNH
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1969,-15.75,145.7,AMNH 212673,"ENDEAVOUR REEF, ca. 0.33 MILE NORTH OF COOK GROUNDING SITE "
,,,,,Portal: GBIF. Source: AMNH
,,,,,Data from GBIF data index - original values.
AMPHIPRION PERCULA,1969,-15.75,145.7,AMNH 213188,"C.L.SMITH, J.C.TYLER, M.MANSFIELD, WOLFE, GREAT BARRIER REEF, PATCH REEF 1, NORTH OF LITTLE HOPE ISLAND "
,,,,,Portal: FB. Source: AMNH
AMPHIPRION PERCULA,1969,-15.75,145.7,AMNH 212673,"C.L. SMITH, M. MANSFIELD, ENDEAVOUR REEF, ca. 0.33 MILE NORTH OF COOK GROUNDING SITE "
,,,,,Portal: FB. Source: AMNH
Amphiprion percula,,-5.2,145.8,I.16694-002,MADANG : LEE SIDE OF TAB ISLAND 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-5.2,145.8,I.17089-018,"MADANG HARBOUR, BAY IN KRANKET ISLAND "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-5.2,145.8,I.16687-002,MADANG : KRANKET ISLAND 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1901,-15.23,145.97,I5065,Portal: OBIS. Source: AM
Amphiprion percula,,-16.8,146,I.5065,GREEN ISLAND 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_10/10/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_26/08/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_16/11/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_27/10/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_05/09/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_15/07/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_11/07/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2006,-16.7,146.05,ARLINGTON_22/09/2006_AMPHIPRION PERCULA,Portal: GBIF. Source: Northern Barrier Marine Life
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1926,-15.3,146.17,IA2760,Portal: OBIS. Source: AM
Amphiprion percula,1926,-15.3,146.17,IA2761,Portal: OBIS. Source: AM
Amphiprion percula,,-16.7,146.2,IA.2761,OFF CAIRNS : MICHAELMAS CAY 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-16.7,146.2,IA.2760,OFF CAIRNS : MICHAELMAS CAY 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2005,-17.47,146.4,IU314_AMPHIPRION_PERCULA,Portal: GBIF. Source: AIMS
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2005,-17.8,146.53,IU351_AMPHIPRION_PERCULA,Portal: GBIF. Source: AIMS
,,,,,Data from GBIF data index - original values.
Amphiprion percula,2000,-18.4,147.46,GO055_AMPHIPRION_PERCULA,Portal: GBIF. Source: AIMS
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1994,-5.17,150.37,FISH 387117,"Kimbe bay, New Britain "
,,,,,Portal: FB. Source: FISH
Amphiprion percula,,-9.5,150.5,I.16515-003,DENTRECASTEAUX GROUP : FERGUSSON ISLAND 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1953,-10.6,150.65,38585,Samarai 
,,,,,Portal: GBIF. Source: MCZ
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-8.5,151.1,I.17099-042,TROBRIAND ISLANDS : KUIA ISLAND 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-23.5,151.7,I.12635,Masthead Is 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1912,-22.47,151.73,I12635,Portal: OBIS. Source: AM
Amphiprion percula,,-3.83,152,MNHN 0000-7991,nouv.-irlande 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-3.83,152,MNHN 0000-7997,port praslin 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-3.83,152,0000-7997,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-3.83,152,0000-7991,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1965,-4.23,152.17,275469.5155,"Dawapia Rocks, (Beehives), Near Entrance To Simpson Harbor, Raba Ul, New Britain. "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1965,-4.2,152.4,275468.5155,"Keraward Is., Duke of Kirk Gp. In St. George'S Channel Betwixt New Britain and New Ireland. "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1965,-4.2,152.4,275473.5155,"Keraward Is., Duke of Kirk Gp. In St. George'S Channel Betwixt New Britain and New Ireland. "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1965,-4.2,152.4,275472.5155,"Keraward Is., Duke of Kirk Gp. In St. George'S Channel Betwixt New Britain and New Ireland. "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-4.2,152.5,A.8720,Duke of York Is 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-4.2,152.5,A.8721,Duke of York Is 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,IA.4418,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,I.2516,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,I.2515,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,I.2517,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,CAS 44560,Reef flat off Pongama Pt. 
,,,,,Portal: GBIF. Source: CAS
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,CAS 44575,Pongama Pt. On reef flat on coral fragment in sand. 
,,,,,Portal: GBIF. Source: CAS
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-6,155,CAS 44570,Reef flat off Pongama Pt. 
,,,,,Portal: GBIF. Source: CAS
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-5,155,IA.4722,SURA KENPUKA COAST 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-9.3,159.6,I.17484-003,GUADALCANAL : NEAR MOUTH OF LAVORO CK 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-8,160,A.8249,Line Islands 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-8.4,160.6,I.15360-105,BITA-AMA REEF : NORTH SIDE MALAITA IS. 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-8.4,160.6,I.15360-201,BITA-AMA REEF : NORTH SIDE MALAITA IS. 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-10.3,161.8,A.11457,Ugi Is. 
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-10.3,166.29,I.39008-046,"Santa Cruz & Reef Is, reef SW of lagoon;Fenualoa Is, W end of Borabei Reef "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,1998,-10.3,166.29,387551.5309,"Solomon Islands, Santa Cruz Islands, Reef Islands, Coral Reef At SW End of Lagoon of Fenualoa Island On Westend of Barabei Reef "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-10.2,166.3,I.39007-007,"Santa Cruz Is, Reef Is, SE end of Fenualoa Is, NW mouth of Forrest Passage "
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,0000-7992,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,1894-0368,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,MNHN 0000-7992,vanikoro(i.) 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,MNHN 1894-0368,vanikoro(i.) 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,11.71,166.85,CAS 44568,Shore reef. Dip-netted out of lg. anemone (D=1.5-2 ft.) 
,,,,,Portal: GBIF. Source: CAS
,,,,,Data from GBIF data index - original values.
