date,location,species,batch_id,dph,stand_dph,speed,time_sec,dist_cm,TL,SL,BD,PA
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,2,9,18,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,4,5,20,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,6,2,12,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,8,35,280,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,10,9,90,nd,nd,nd,nd
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,2,47,94,3.54,3.36,0.48,0.94
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,4,60,240,3.25,3.09,0.47,nd
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,6,4,24,3.64,3.47,0.52,1.04
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,8,0,0,nd,nd,nd,nd
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,10,1,10,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,2,1955,3910,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,4,430,1720,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,6,0,0,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,8,114,912,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,10,0,0,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,2,224,448,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,4,228,912,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,6,130,780,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,8,123,984,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,10,0,0,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,4,128,512,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,6,135,810,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,8,124,992,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,10,0,0,nd,nd,nd,nd
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,2,272,544,nd,nd,nd,nd
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,4,47,188,5.6,5.08,0.72,2.65
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,6,50,300,4.85,4.6,0.59,1.91
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,8,0,0,nd,nd,nd,nd
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,10,20,200,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,2,1621,3242,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,4,0,0,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,6,21,126,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,8,13,104,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,10,1,10,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,2,62,124,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,4,12,48,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,6,31,186,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,8,0,0,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,10,0,0,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,2,289,578,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,4,128,512,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,6,8,48,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,8,2,16,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,10,1,10,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,2,22,44,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,4,0,0,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,6,4,24,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,8,0,0,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,10,0,0,nd,nd,nd,nd
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,2,3320,6640,4.71,4.39,0.64,1.88
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,4,75,300,nd,nd,nd,nd
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,6,60,360,nd,nd,nd,nd
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,8,152,1216,4.71,4.33,0.54,1.78
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,10,15,150,5.54,5.03,0.69,2.48
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,2,1527,3054,nd,nd,nd,nd
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,4,73,292,nd,nd,nd,nd
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,6,420,2520,nd,nd,nd,nd
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,8,47,376,nd,nd,nd,nd
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,10,21,210,nd,nd,nd,nd
2014/08/18,Boston University Lab,Elacatinus colini,60,10,0.33,2,467,934,nd,nd,nd,nd
2014/08/18,Boston University Lab,Elacatinus colini,60,10,0.33,4,84,336,nd,nd,nd,nd
2014/08/18,Boston University Lab,Elacatinus colini,60,10,0.33,6,24,144,nd,nd,nd,nd
2014/08/18,Boston University Lab,Elacatinus colini,60,10,0.33,8,11,88,nd,nd,nd,nd
2014/08/18,Boston University Lab,Elacatinus colini,60,10,0.33,10,4,40,nd,nd,nd,nd
2014/08/20,Boston University Lab,Elacatinus colini,68,20,0.67,2,6381,12762,nd,nd,nd,nd
2014/08/20,Boston University Lab,Elacatinus colini,68,20,0.67,4,647,2588,nd,nd,nd,nd
2014/08/20,Boston University Lab,Elacatinus colini,68,20,0.67,6,277,1662,nd,nd,nd,nd
2014/08/20,Boston University Lab,Elacatinus colini,68,20,0.67,8,58,464,nd,nd,nd,nd
2014/08/20,Boston University Lab,Elacatinus colini,68,20,0.67,10,5,50,nd,nd,nd,nd
2014/08/27,Boston University Lab,Elacatinus colini,78,30,1,4,398,1592,nd,nd,nd,nd
2014/08/27,Boston University Lab,Elacatinus colini,78,30,1,6,144,864,nd,nd,nd,nd
2014/08/27,Boston University Lab,Elacatinus colini,78,30,1,8,145,1160,nd,nd,nd,nd
2014/08/27,Boston University Lab,Elacatinus colini,78,30,1,10,16,160,nd,nd,nd,nd
2014/08/28,Boston University Lab,Elacatinus colini,60,20,0.67,2,5122,10244,nd,nd,nd,nd
2014/08/28,Boston University Lab,Elacatinus colini,60,20,0.67,4,888,3552,nd,nd,nd,nd
2014/08/28,Boston University Lab,Elacatinus colini,60,20,0.67,6,107,642,nd,nd,nd,nd
2014/08/28,Boston University Lab,Elacatinus colini,60,20,0.67,8,20,160,nd,nd,nd,nd
2014/08/28,Boston University Lab,Elacatinus colini,60,20,0.67,10,17,170,nd,nd,nd,nd
2014/08/31,Boston University Lab,Elacatinus colini,68,30,1,4,352,1408,nd,nd,nd,nd
2014/08/31,Boston University Lab,Elacatinus colini,68,30,1,6,1101,6606,nd,nd,nd,nd
2014/08/31,Boston University Lab,Elacatinus colini,68,30,1,8,109,872,nd,nd,nd,nd
2014/08/31,Boston University Lab,Elacatinus colini,68,30,1,10,280,2800,nd,nd,nd,nd
2014/12/16,Boston University Lab,Elacatinus lori,198,0,0,2,228,456,nd,nd,nd,nd
2014/12/16,Boston University Lab,Elacatinus lori,198,0,0,4,112,448,3.73,3.54,0.47,1.17
2014/12/16,Boston University Lab,Elacatinus lori,198,0,0,6,33,198,3.71,3.55,0.54,1.18
2014/12/16,Boston University Lab,Elacatinus lori,198,0,0,8,32,256,nd,nd,nd,nd
2014/12/16,Boston University Lab,Elacatinus lori,198,0,0,10,0,0,nd,nd,nd,nd
2014/12/26,Boston University Lab,Elacatinus lori,198,10,0.33,2,4200,8400,5.23,4.86,0.77,2.32
2014/12/26,Boston University Lab,Elacatinus lori,198,10,0.33,4,137,548,6.01,5.44,0.82,3.08
2014/12/26,Boston University Lab,Elacatinus lori,198,10,0.33,6,171,1026,5.54,5,0.77,2.57
2014/12/26,Boston University Lab,Elacatinus lori,198,10,0.33,8,35,280,5.57,5.09,0.79,2.66
2014/12/26,Boston University Lab,Elacatinus lori,198,10,0.33,10,0,0,5.33,4.87,0.71,2.14
2015/01/05,Boston University Lab,Elacatinus lori,198,20,0.67,2,590,1180,nd,nd,nd,nd
2015/01/05,Boston University Lab,Elacatinus lori,198,20,0.67,4,122,488,nd,nd,nd,nd
2015/01/05,Boston University Lab,Elacatinus lori,198,20,0.67,6,47,282,nd,nd,nd,nd
2015/01/05,Boston University Lab,Elacatinus lori,198,20,0.67,8,32,256,nd,nd,nd,nd
2015/01/05,Boston University Lab,Elacatinus lori,198,20,0.67,10,0,0,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,104,0,0,2,56,112,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,104,0,0,4,45,180,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,104,0,0,6,15,90,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,104,0,0,8,0,0,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,104,0,0,10,0,0,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,198,30,1,2,1620,3240,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,198,30,1,4,392,1568,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,198,30,1,6,72,432,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,198,30,1,8,39,312,nd,nd,nd,nd
2015/01/15,Boston University Lab,Elacatinus lori,198,30,1,10,0,0,nd,nd,nd,nd
2015/01/25,Boston University Lab,Elacatinus lori,104,10,0.33,2,2044,4088,nd,nd,0.59,1.56
2015/01/25,Boston University Lab,Elacatinus lori,104,10,0.33,4,479,1916,5.66,5.15,0.76,2.56
2015/01/25,Boston University Lab,Elacatinus lori,104,10,0.33,6,68,408,5.06,4.61,0.69,1.9
2015/01/25,Boston University Lab,Elacatinus lori,104,10,0.33,8,59,472,4.62,4.32,0.64,1.75
2015/01/25,Boston University Lab,Elacatinus lori,104,10,0.33,10,0,0,nd,nd,nd,nd
2015/02/26,Boston University Lab,Elacatinus lori,200,0,0,2,126,252,nd,nd,nd,nd
2015/02/26,Boston University Lab,Elacatinus lori,200,0,0,4,26,104,nd,nd,nd,nd
2015/02/26,Boston University Lab,Elacatinus lori,200,0,0,6,21,126,nd,nd,nd,nd
2015/02/26,Boston University Lab,Elacatinus lori,200,0,0,8,0,0,nd,nd,nd,nd
2015/02/26,Boston University Lab,Elacatinus lori,200,0,0,10,0,0,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,2,885,1770,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,4,162,648,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,6,203,1218,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,8,41,328,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,10,10,100,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,2,1387,2774,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,4,388,1552,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,6,225,1350,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,8,68,544,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,10,48,480,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,2,1548,3096,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,4,1312,5248,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,6,255,1530,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,8,286,2288,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,10,72,720,nd,nd,nd,nd
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,nd,nd,nd,4.68,4.43,1.03,3.13
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,nd,nd,nd,4.72,4.45,1.01,2.92
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,nd,nd,nd,4.71,4.46,0.96,3
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,nd,nd,nd,4.61,4.36,1.02,3.16
2015/03/07,Boston University Lab,Amphiprion percula,B 2:4,0,0,nd,nd,nd,4.85,4.62,1.04,3.23
2015/03/08,Boston University Lab,Elacatinus lori,200,10,0.33,2,1150,2300,5.25,4.85,0.72,2.36
2015/03/08,Boston University Lab,Elacatinus lori,200,10,0.33,4,921,3684,5.64,5.15,0.78,2.53
2015/03/08,Boston University Lab,Elacatinus lori,200,10,0.33,6,326,1956,5.67,5.19,0.73,2.59
2015/03/08,Boston University Lab,Elacatinus lori,200,10,0.33,8,53,424,5.53,5.07,0.73,2.49
2015/03/08,Boston University Lab,Elacatinus lori,200,10,0.33,10,29,290,5.5,5.05,0.74,2.4
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,2,4374,8748,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,4,7025,28100,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,6,1223,7338,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,8,853,6824,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,10,221,2210,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,2,11441,22882,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,4,9450,37800,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,6,1782,10692,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,8,3108,24864,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,10,362,3620,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,2,12206,24412,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,4,14350,57400,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,6,4128,24768,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,8,4069,32552,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,10,384,3840,nd,nd,nd,nd
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,nd,nd,nd,6.23,5.27,1.79,6.96
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,nd,nd,nd,6.43,5.39,1.78,6.78
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,nd,nd,nd,6.46,5.42,1.74,7.34
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,nd,nd,nd,6.15,5.07,1.7,6.59
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,nd,nd,nd,4.43,3.95,1.13,2.96
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,2,149828,299656,nd,nd,nd,nd
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,4,241860,967440,nd,nd,nd,nd
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,10,87240,872400,nd,nd,nd,nd
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.66,6.14,2.14,12.64
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.86,6.34,2.22,12.42
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.57,6.1,2.25,11.97
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.7,6.23,2.12,12.31
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,8,6.49,2.29,13.65
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,2,332,664,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,4,173,692,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,6,168,1008,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,8,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,10,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,2,2604,5208,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,4,396,1584,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,6,221,1326,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,8,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,10,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,2,1524,3048,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,4,1148,4592,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,6,462,2772,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,8,154,1232,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,10,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.76,4.49,1.07,3.19
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.76,4.5,1.04,3.12
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.82,4.54,1.11,3.14
